Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,City,city_risk_score,parts_inflation_index,no_claim_score,income_risk_ratio,location_score,income_risk_ratio_log
QC89139,Oregon,4528.737362,No,Basic,High School or Below,1/11/11,Employed,F,90034,Suburban,Married,112,5,86,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,537.6,SUV,Medsize,Antalya,3,1.0,1,0.014927693982273364,2,0.014817372500354272
LA14484,Nevada,2227.072755,Yes,Basic,High School or Below,1/5/11,Retired,M,27972,Suburban,Married,61,7,38,0,1,Special Auto,Special L1,Offer3,Web,292.8,Four-Door Car,Medsize,Bursa,3,1.0,2,0.02616902616902617,2,0.025832476034765222
HN57556,California,7292.948758,No,Basic,High School or Below,2/17/11,Unemployed,F,0,Suburban,Single,65,6,45,0,2,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,Istanbul,5,1.0,1,65.0,2,4.189654742026425
CV31235,Arizona,3184.355246,No,Extended,Bachelor,2/21/11,Employed,M,50989,Urban,Married,80,3,11,0,1,Corporate Auto,Corporate L3,Offer2,Agent,255.999709,Four-Door Car,Medsize,Izmir,4,1.0,1,0.01882759026456687,3,0.018652544895628294
WR45726,Arizona,11315.20373,Yes,Premium,Bachelor,2/16/11,Disabled,F,11885,Suburban,Divorced,101,18,39,0,2,Special Auto,Special L1,Offer1,Agent,484.8,Four-Door Car,Medsize,Izmir,4,1.0,3,0.10197728228859908,2,0.09710609553510861
LB25094,California,2530.705137,Yes,Basic,Bachelor,1/21/11,Employed,F,89451,Rural,Single,63,11,2,0,1,Special Auto,Special L2,Offer2,Web,61.769564,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.008451554482342288,1,0.008416040056860672
KW56110,Oregon,18361.55525,No,Basic,Bachelor,2/28/11,Unemployed,M,0,Suburban,Single,182,3,56,0,2,Personal Auto,Personal L2,Offer1,Web,1310.4,Luxury Car,Medsize,Antalya,3,1.5,1,180.67000000000007,2,5.202191854450654
XO36233,Washington,8641.530036,No,Basic,Bachelor,2/12/11,Employed,M,78904,Rural,Divorced,109,10,38,0,9,Personal Auto,Personal L3,Offer4,Branch,250.001424,SUV,Large,Ankara,4,1.0,2,0.016577106357092163,1,0.01644120596309475
ZX86243,Arizona,3278.53188,No,Extended,Doctor,2/19/11,Employed,M,70247,Rural,Single,83,13,19,1,1,Personal Auto,Personal L2,Offer4,Call Center,141.799422,Four-Door Car,Medsize,Izmir,4,1.0,3,0.014178541432374335,1,0.014078966032656251
DW29763,Arizona,5271.982116,No,Basic,High School or Below,2/13/11,Employed,M,32653,Suburban,Married,67,4,25,0,9,Personal Auto,Personal L1,Offer1,Agent,321.6,Two-Door Car,Large,Izmir,4,1.0,1,0.02462254616727406,2,0.024324297128874687
CT83377,Washington,3763.637743,No,Extended,High School or Below,2/21/11,Employed,M,93595,Rural,Married,97,15,30,4,1,Special Auto,Special L2,Offer4,Agent,49.797016,Four-Door Car,Medsize,Ankara,4,1.0,3,0.012436561782146483,1,0.01235986300566999
OQ90898,California,13955.56961,No,Basic,Master,1/2/11,Employed,M,90279,Urban,Divorced,115,7,64,0,2,Personal Auto,Personal L1,Offer3,Call Center,372.175592,SUV,Medsize,Istanbul,5,1.0,2,0.015285946897949688,3,0.015170293899542064
GO77248,Oregon,5001.527484,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Single,72,3,56,0,3,Personal Auto,Personal L3,Offer1,Agent,542.14385,Four-Door Car,Small,Antalya,3,1.0,1,72.0,2,4.290459441148391
QW33258,California,7082.830426,No,Basic,Bachelor,1/22/11,Employed,M,53310,Suburban,Divorced,189,26,33,3,1,Personal Auto,Personal L3,Offer2,Branch,1360.8,Luxury Car,Medsize,Istanbul,5,1.5,4,0.04254361283061339,2,0.0416635086652758
OU79745,California,7619.482766,No,Premium,College,2/2/11,Unemployed,M,0,Suburban,Divorced,105,5,42,0,5,Personal Auto,Personal L3,Offer1,Agent,504.0,Four-Door Car,Medsize,Istanbul,5,1.0,1,105.0,2,4.663439094112067
VZ79886,Oregon,12550.88198,No,Premium,Bachelor,2/22/11,Employed,F,22234,Suburban,Divorced,160,0,92,0,3,Personal Auto,Personal L3,Offer1,Agent,768.0,SUV,Medsize,Antalya,3,1.0,1,0.08635423225690385,2,0.08282734904176027
FI92440,Washington,32196.60037,No,Extended,High School or Below,1/30/11,Employed,F,91375,Rural,Married,99,22,89,0,2,Personal Auto,Personal L1,Offer4,Call Center,72.632934,Two-Door Car,Medsize,Ankara,4,1.0,3,0.013001367989056089,1,0.012917575699056102
YG85980,Nevada,6793.77405,No,Extended,High School or Below,1/29/11,Employed,F,22250,Suburban,Married,86,10,36,0,3,Personal Auto,Personal L3,Offer3,Web,720.601429,Two-Door Car,Medsize,Bursa,3,1.0,2,0.04638202247191011,2,0.04533852121380002
QM74621,Oregon,5272.319663,No,Extended,Bachelor,1/27/11,Unemployed,M,0,Suburban,Single,80,9,69,0,7,Personal Auto,Personal L3,Offer3,Agent,576.0,Four-Door Car,Medsize,Antalya,3,1.0,2,80.0,2,4.394449154672439
EI71732,Oregon,6265.343299,Yes,Extended,Doctor,1/13/11,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Personal Auto,Personal L1,Offer1,Agent,481.025786,Four-Door Car,Medsize,Antalya,3,1.0,3,84.0,2,4.442651256490317
VN79010,California,8547.586142,No,Basic,High School or Below,2/24/11,Employed,F,51179,Suburban,Married,71,10,25,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,466.176731,Four-Door Car,Small,Istanbul,5,1.0,2,0.016647453056917876,2,0.016510403140089364
FI61723,California,2787.423683,No,Basic,Bachelor,1/26/11,Employed,M,38667,Rural,Single,72,8,67,0,1,Personal Auto,Personal L3,Offer1,Agent,159.266473,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.02234463496004345,1,0.022098651140472658
OH55411,California,4626.801093,Yes,Basic,Master,1/16/11,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,547.2,SUV,Medsize,Istanbul,5,1.0,3,0.017210361442751645,2,0.017063940753381523
TF10720,Nevada,8663.363959,No,Premium,Doctor,1/27/11,Employed,F,67763,Rural,Married,107,28,10,2,9,Personal Auto,Personal L3,Offer1,Web,41.283167,Four-Door Car,Medsize,Bursa,3,1.0,4,0.018948393666159996,1,0.018771108862116526
NW30838,Nevada,3872.222217,No,Basic,High School or Below,1/25/11,Unemployed,M,0,Suburban,Single,62,8,81,2,6,Corporate Auto,Corporate L3,Offer1,Call Center,503.808329,Four-Door Car,Medsize,Bursa,3,1.0,2,62.0,2,4.143134726391533
CB58476,Oregon,5170.811494,No,Basic,College,2/6/11,Unemployed,F,0,Suburban,Single,71,5,20,0,5,Corporate Auto,Corporate L2,Offer1,Call Center,859.599411,Four-Door Car,Small,Antalya,3,1.0,1,71.0,2,4.276666119016055
WI69346,California,8960.280213,No,Basic,Master,1/17/11,Employed,F,71943,Urban,Single,112,8,51,0,4,Corporate Auto,Corporate L2,Offer3,Agent,305.653785,SUV,Medsize,Istanbul,5,1.0,2,0.018681456152787622,3,0.018509101005367512
FS76657,Oregon,5471.83429,No,Basic,College,2/6/11,Employed,F,53526,Urban,Married,68,27,69,0,4,Personal Auto,Personal L3,Offer1,Agent,278.902846,Four-Door Car,Medsize,Antalya,3,1.0,4,0.015244927698688487,3,0.015129891461165028
YX89016,Oregon,34931.00171,No,Premium,College,2/17/11,Employed,M,35005,Suburban,Married,295,14,46,0,2,Personal Auto,Personal L3,Offer2,Web,1416.0,Luxury Car,Small,Antalya,3,1.5,3,0.1011284102271104,2,0.0963354814820646
PK28821,California,2620.392335,No,Basic,College,1/28/11,Employed,M,24721,Rural,Married,67,3,76,0,1,Personal Auto,Personal L2,Offer2,Branch,139.963594,Four-Door Car,Medsize,Istanbul,5,1.0,1,0.03252295619109259,1,0.03200527920500912
MB51200,Washington,19069.49954,No,Premium,College,2/2/11,Unemployed,M,0,Suburban,Single,102,29,72,2,2,Personal Auto,Personal L3,Offer1,Branch,734.4,Four-Door Car,Medsize,Ankara,4,1.0,4,102.0,2,4.634728988229636
XG44587,Arizona,5757.442258,Yes,Basic,Master,1/31/11,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,Izmir,4,1.0,2,0.009708192410980145,1,0.009661370703234778
FG91922,Arizona,40224.01359,No,Basic,Master,2/7/11,Employed,M,48587,Suburban,Married,111,7,14,0,2,Personal Auto,Personal L2,Offer1,Branch,532.8,SUV,Medsize,Izmir,4,1.0,2,0.027414740568464817,2,0.027045686396486003
OM99303,Arizona,2701.488341,No,Basic,High School or Below,1/5/11,Employed,F,76310,Suburban,Married,67,1,33,0,1,Personal Auto,Personal L3,Offer4,Branch,321.6,Two-Door Car,Medsize,Izmir,4,1.0,1,0.010535971694404402,2,0.010480855144231289
RV67546,California,3712.430479,No,Extended,Bachelor,2/11/11,Employed,M,73205,Rural,Married,92,9,18,0,1,Personal Auto,Personal L2,Offer3,Branch,37.299865,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.01508093709446076,1,0.014968350294372027
UJ79253,Oregon,21850.84002,No,Extended,College,2/17/11,Employed,F,51056,Rural,Married,78,27,86,0,2,Personal Auto,Personal L1,Offer3,Branch,95.816516,Four-Door Car,Large,Antalya,3,1.0,4,0.018332811031024757,1,0.01816679105616006
PN98247,California,7840.165778,Yes,Extended,College,1/14/11,Employed,M,58414,Suburban,Single,210,7,24,2,1,Personal Auto,Personal L3,Offer2,Agent,1008.0,Luxury SUV,Small,Istanbul,5,1.5,2,0.0431403430684425,2,0.042235724079239784
IB67546,California,8237.037945,No,Basic,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13,34,0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,Istanbul,5,1.0,3,0.05363408521303258,2,0.0522452221129326
OE19087,California,2243.473907,No,Basic,High School or Below,2/24/11,Unemployed,F,0,Suburban,Single,62,26,18,0,1,Personal Auto,Personal L3,Offer4,Call Center,446.4,Four-Door Car,Medsize,Istanbul,5,1.0,4,62.0,2,4.143134726391533
CM95716,California,8434.464067,No,Basic,Bachelor,2/3/11,Employed,M,44216,Rural,Married,71,24,36,0,2,Personal Auto,Personal L2,Offer1,Agent,72.205362,Four-Door Car,Large,Istanbul,5,1.0,3,0.019269042880405284,1,0.019085745770957653
MW62634,California,2227.072755,Yes,Basic,High School or Below,1/5/11,Retired,M,27972,Suburban,Married,61,7,38,0,1,Corporate Auto,Corporate L3,Offer3,Web,292.8,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.02616902616902617,2,0.025832476034765222
QW67581,Arizona,5170.025981,No,Basic,High School or Below,1/17/11,Unemployed,F,0,Suburban,Married,69,27,48,0,9,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,Izmir,4,1.0,4,69.0,2,4.248495242049359
SN16059,California,2641.446062,No,Basic,Master,2/8/11,Employed,F,29305,Suburban,Married,66,1,38,0,1,Personal Auto,Personal L2,Offer3,Web,475.2,Four-Door Car,Small,Istanbul,5,1.0,1,0.027026104760279814,2,0.02666734908518847
OE51254,California,2790.682957,No,Basic,College,2/10/11,Employed,F,53882,Suburban,Married,69,14,33,0,1,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize,Istanbul,5,1.0,3,0.015366912883708844,2,0.015250037697613752
RM42344,Oregon,2745.129849,No,Basic,College,1/15/11,Employed,M,91757,Suburban,Married,69,29,58,1,1,Personal Auto,Personal L3,Offer2,Web,331.2,Four-Door Car,Medsize,Antalya,3,1.0,4,0.009023834693810826,2,0.008983363187430834
GB35238,California,7579.532717,No,Basic,Bachelor,1/9/11,Employed,F,33906,Suburban,Married,64,25,49,0,2,Personal Auto,Personal L2,Offer1,Branch,401.592109,Two-Door Car,Small,Istanbul,5,1.0,4,0.022650858255176074,2,0.022398136687934646
ML82674,Oregon,10978.78028,No,Extended,Bachelor,1/12/11,Employed,M,68158,Rural,Married,139,28,87,1,4,Personal Auto,Personal L2,Offer1,Call Center,253.183568,SUV,Medsize,Antalya,3,1.0,4,0.024472549077144284,1,0.02417789387921994
EI85244,California,8255.060054,No,Extended,College,1/20/11,Unemployed,M,0,Suburban,Single,134,24,86,3,5,Personal Auto,Personal L1,Offer1,Agent,643.2,SUV,Medsize,Istanbul,5,1.0,3,134.0,2,4.90527477843843
DE28132,Oregon,4747.734642,No,Extended,College,1/8/11,Employed,M,42165,Suburban,Single,123,22,66,0,1,Corporate Auto,Corporate L3,Offer1,Branch,799.673766,SUV,Large,Antalya,3,1.0,3,0.035005336179295625,2,0.034406582432829715
TV25678,Washington,3540.90425,No,Basic,College,2/2/11,Unemployed,M,0,Suburban,Single,101,24,11,0,1,Personal Auto,Personal L3,Offer4,Web,727.2,SUV,Medsize,Ankara,4,1.0,3,101.0,2,4.624972813284271
TY26512,California,3436.134281,Yes,Extended,Doctor,2/18/11,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal Auto,Personal L3,Offer2,Branch,91.834668,Four-Door Car,Medsize,Istanbul,5,1.0,4,0.034266800791770774,1,0.033692770647817664
OB69153,California,2582.185301,No,Basic,Bachelor,1/23/11,Employed,M,68074,Rural,Married,65,12,62,0,1,Personal Auto,Personal L1,Offer4,Branch,27.987867,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.011458119105679114,1,0.011392972028650167
AB31813,Washington,44771.29936,No,Extended,High School or Below,2/12/11,Unemployed,M,0,Suburban,Married,131,20,59,0,2,Personal Auto,Personal L3,Offer3,Agent,842.391832,SUV,Medsize,Ankara,4,1.0,3,131.0,2,4.882801922586371
XN41715,California,7396.283653,No,Extended,Master,2/19/11,Employed,F,71135,Urban,Married,92,11,64,1,3,Personal Auto,Personal L3,Offer1,Branch,270.563995,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.015519786321782525,3,0.015400586163387076
QR15857,California,4330.799785,No,Basic,College,1/12/11,Unemployed,F,0,Suburban,Single,61,30,35,0,3,Personal Auto,Personal L3,Offer3,Agent,292.8,Two-Door Car,Medsize,Istanbul,5,1.0,4,61.0,2,4.127134385045092
FL69363,Oregon,9075.768214,Yes,Basic,Master,1/26/11,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,Medsize,Antalya,3,1.5,2,0.03690154286623191,1,0.036236980541478246
IS30295,Arizona,14635.45158,Yes,Extended,Bachelor,2/27/11,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal Auto,Personal L3,Offer1,Call Center,667.2,SUV,Medsize,Izmir,4,1.0,1,139.0,2,4.941642422609304
GR62267,Washington,5609.082494,No,Basic,College,1/4/11,Employed,F,44705,Rural,Divorced,71,21,63,0,6,Personal Auto,Personal L2,Offer1,Branch,148.173152,Two-Door Car,Medsize,Ankara,4,1.0,3,0.0190582708869254,1,0.018878936989259534
NL59519,California,11565.68747,No,Extended,College,2/14/11,Employed,F,64642,Urban,Married,96,3,79,0,2,Personal Auto,Personal L2,Offer3,Branch,404.265696,Four-Door Car,Large,Istanbul,5,1.0,1,0.017821230778750658,3,0.017664294435045858
ZU93025,Oregon,2771.045031,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3,32,0,1,Personal Auto,Personal L2,Offer2,Agent,18.918935,Two-Door Car,Medsize,Antalya,3,1.0,1,0.01701583751073476,1,0.016872689718752353
DK94262,Oregon,8507.128824,No,Basic,High School or Below,1/24/11,Employed,M,46754,Suburban,Married,106,5,70,1,9,Personal Auto,Personal L3,Offer3,Web,513.818403,SUV,Medsize,Antalya,3,1.0,1,0.0272062283440989,2,0.02684271735427662
UQ30615,California,7582.113842,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23,19,0,2,Corporate Auto,Corporate L3,Offer2,Web,268.471802,Four-Door Car,Medsize,Istanbul,5,1.0,3,0.011851668955725992,3,0.01178198794438599
OR40060,Arizona,3323.092454,No,Extended,Bachelor,1/18/11,Employed,M,70410,Rural,Married,83,25,13,0,1,Personal Auto,Personal L3,Offer2,Web,131.828507,Four-Door Car,Medsize,Izmir,4,1.0,4,0.014145717937792927,1,0.014046600897315941
DK32872,Nevada,5234.331741,No,Extended,High School or Below,1/18/11,Employed,F,66957,Suburban,Married,131,31,4,1,1,Personal Auto,Personal L1,Offer2,Web,628.8,SUV,Medsize,Bursa,3,1.0,4,0.02347775437967651,2,0.023206391031684336
FA46418,Nevada,24709.59957,No,Extended,High School or Below,2/4/11,Employed,F,24213,Suburban,Single,78,11,28,1,2,Personal Auto,Personal L3,Offer2,Agent,374.4,Four-Door Car,Medsize,Bursa,3,1.0,2,0.038656919836451496,2,0.03792845531348505
ST96866,Washington,3123.080994,Yes,Basic,Bachelor,2/19/11,Unemployed,M,0,Suburban,Married,101,1,83,4,1,Special Auto,Special L3,Offer1,Agent,960.115399,SUV,Large,Ankara,4,1.0,1,101.0,2,4.624972813284271
KI75855,Oregon,2551.226692,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small,Antalya,3,1.0,3,0.009479504959185465,2,0.00943485639446563
ND41876,Arizona,7247.713672,No,Basic,High School or Below,1/16/11,Employed,M,86122,Suburban,Married,182,33,54,1,1,Personal Auto,Personal L2,Offer2,Agent,873.6,Luxury SUV,Small,Izmir,4,1.5,4,0.025359373911427976,2,0.02504315983558198
PN21042,Arizona,4538.847818,No,Basic,Bachelor,2/17/11,Employed,M,82297,Rural,Single,116,5,62,0,1,Personal Auto,Personal L3,Offer1,Call Center,0.382107,Sports Car,Medsize,Izmir,4,1.5,1,0.016914346817016417,1,0.016772892100737142
FF22360,Washington,2687.314108,No,Basic,Doctor,1/30/11,Employed,F,82210,Rural,Married,68,33,46,4,1,Personal Auto,Personal L2,Offer3,Call Center,51.961915,Four-Door Car,Medsize,Ankara,4,1.0,4,0.009925799781048534,1,0.009876862591123126
AL46984,California,8730.421977,No,Basic,High School or Below,2/4/11,Employed,M,43259,Suburban,Married,73,12,18,0,2,Personal Auto,Personal L2,Offer1,Branch,350.4,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.020250121362028712,2,0.020047814256996824
JP58047,Oregon,8332.730557,No,Extended,College,1/27/11,Unemployed,M,0,Suburban,Married,79,7,72,0,2,Personal Auto,Personal L3,Offer2,Web,379.2,Four-Door Car,Medsize,Antalya,3,1.0,2,79.0,2,4.382026634673881
ZE85014,California,2357.747015,No,Basic,College,1/20/11,Disabled,M,25064,Suburban,Married,62,17,34,0,1,Personal Auto,Personal L3,Offer1,Call Center,297.6,Four-Door Car,Medsize,Istanbul,5,1.0,3,0.029684008937120972,2,0.02925196773296244
KU88219,Arizona,4637.164036,No,Basic,Master,2/7/11,Employed,M,25816,Suburban,Single,119,18,63,0,1,Personal Auto,Personal L1,Offer3,Agent,571.2,Sports Car,Medsize,Izmir,4,1.5,3,0.05531453362255965,2,0.05383885862941123
UU98729,California,5357.192698,No,Basic,Bachelor,1/10/11,Unemployed,M,0,Suburban,Married,73,14,74,0,8,Personal Auto,Personal L3,Offer1,Call Center,350.853987,Four-Door Car,Large,Istanbul,5,1.0,3,73.0,2,4.30406509320417
WS82822,Oregon,5391.970996,No,Basic,College,2/21/11,Employed,F,41662,Urban,Divorced,69,27,73,0,6,Corporate Auto,Corporate L3,Offer1,Agent,217.973168,Four-Door Car,Medsize,Antalya,3,1.0,4,0.01987422591330229,3,0.019679311764997116
YB49933,Arizona,3694.140498,No,Extended,Bachelor,2/3/11,Employed,M,96170,Suburban,Married,92,8,86,0,1,Personal Auto,Personal L1,Offer2,Call Center,441.6,Four-Door Car,Large,Izmir,4,1.0,2,0.011479671415202246,2,0.011414279959744181
XC16387,Arizona,5040.412436,No,Basic,High School or Below,1/1/11,Employed,F,46072,Rural,Single,64,0,61,0,4,Personal Auto,Personal L3,Offer1,Branch,25.934064,Four-Door Car,Medsize,Izmir,4,1.0,1,0.016669560687619378,1,0.01653214852514534
XJ96748,Arizona,27495.42188,No,Extended,High School or Below,2/23/11,Employed,F,37931,Suburban,Married,99,8,31,0,2,Personal Auto,Personal L3,Offer2,Branch,475.2,Four-Door Car,Small,Izmir,4,1.0,2,0.031320028472753156,2,0.03083956275903987
TM98684,Oregon,4842.284965,No,Basic,High School or Below,1/19/11,Employed,M,35127,Suburban,Married,62,9,21,0,5,Personal Auto,Personal L2,Offer2,Agent,297.6,Four-Door Car,Small,Antalya,3,1.0,2,0.021180288666837476,2,0.020959104070855328
NM39588,Washington,2678.058299,No,Basic,Doctor,1/20/11,Employed,F,72450,Rural,Married,66,21,58,0,1,Corporate Auto,Corporate L3,Offer4,Branch,84.218363,Four-Door Car,Medsize,Ankara,4,1.0,3,0.01093167701863354,1,0.010872358149026208
DM74502,Nevada,5227.101938,No,Extended,College,2/11/11,Employed,F,93087,Suburban,Married,131,14,25,3,1,Corporate Auto,Corporate L3,Offer1,Agent,628.8,Sports Car,Medsize,Bursa,3,1.5,3,0.016887427890038352,2,0.01674642056618111
FT56968,Arizona,2590.096027,No,Basic,High School or Below,1/3/11,Employed,M,22398,Suburban,Married,67,23,76,2,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,Izmir,4,1.0,3,0.035896062148406106,2,0.035266812692713236
OX36896,California,10536.07798,No,Extended,High School or Below,2/20/11,Employed,M,92983,Rural,Married,87,9,77,1,2,Corporate Auto,Corporate L3,Offer1,Agent,153.205591,Four-Door Car,Medsize,Istanbul,5,1.0,2,0.0112278588559199,1,0.011165294323595887
BZ65376,Arizona,8581.278701,No,Extended,Bachelor,1/18/11,Medical Leave,M,27689,Suburban,Married,239,0,72,2,1,Personal Auto,Personal L2,Offer2,Web,2893.239678,Luxury SUV,Medsize,Izmir,4,1.5,1,0.10357903860738922,2,0.09855856953018573
LN34660,California,9463.113263,No,Basic,College,2/21/11,Employed,F,69654,Suburban,Married,118,10,50,0,7,Corporate Auto,Corporate L3,Offer1,Branch,629.532731,SUV,Small,Istanbul,5,1.0,2,0.020329055043500733,2,0.020125178254850055
JC29295,California,13441.00637,No,Basic,Bachelor,1/21/11,Employed,F,80744,Urban,Married,111,15,19,0,2,Personal Auto,Personal L3,Offer3,Web,361.284757,SUV,Medsize,Istanbul,5,1.0,3,0.01649658178935896,3,0.016361991354942772
KJ87930,California,3886.504807,No,Basic,Bachelor,2/6/11,Unemployed,F,0,Suburban,Single,112,13,59,0,1,Corporate Auto,Corporate L2,Offer1,Agent,1185.988301,SUV,Medsize,Istanbul,5,1.0,3,112.0,2,4.727387818712341
XT36360,Arizona,6784.89369,No,Basic,High School or Below,2/1/11,Unemployed,F,0,Suburban,Single,64,7,5,1,2,Personal Auto,Personal L2,Offer1,Call Center,460.8,Four-Door Car,Large,Izmir,4,1.0,2,64.0,2,4.174387269895637
IX35050,Arizona,23594.6802,Yes,Basic,Bachelor,1/31/11,Employed,M,76358,Rural,Married,66,25,3,0,2,Special Auto,Special L3,Offer3,Agent,86.461582,Four-Door Car,Medsize,Izmir,4,1.0,4,0.010372194138138767,1,0.010318772018047559
UN97379,Oregon,2538.62632,Yes,Basic,Bachelor,2/17/11,Retired,M,18608,Suburban,Divorced,71,13,24,0,1,Corporate Auto,Corporate L3,Offer2,Web,340.8,Four-Door Car,Medsize,Antalya,3,1.0,3,0.04578675838349097,2,0.04476948098155039
MR57294,California,5639.941974,Yes,Basic,High School or Below,1/10/11,Employed,M,73168,Suburban,Married,70,21,50,0,3,Personal Auto,Personal L3,Offer2,Agent,425.800112,Four-Door Car,Medsize,Istanbul,5,1.0,3,0.011480428602667833,2,0.011415028553318102
LK74984,Washington,2459.171724,No,Basic,High School or Below,1/12/11,Employed,M,21190,Suburban,Married,65,24,68,2,1,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Medsize,Ankara,4,1.0,3,0.03680981595092025,2,0.03614851411631114
DX31066,Washington,2667.270014,No,Basic,College,2/10/11,Employed,F,94041,Rural,Married,66,14,11,0,1,Personal Auto,Personal L3,Offer3,Agent,159.756733,Four-Door Car,Medsize,Ankara,4,1.0,3,0.008421858551057518,1,0.008386592565416722
GL20444,Nevada,13778.36933,No,Premium,Master,1/4/11,Employed,F,91474,Rural,Married,113,9,99,0,2,Corporate Auto,Corporate L3,Offer3,Branch,24.087774,Two-Door Car,Large,Bursa,3,1.0,2,0.014823884382447472,1,0.014715084514944708
SP58110,California,4923.18169,No,Basic,Bachelor,1/16/11,Employed,F,61469,Suburban,Married,63,16,65,5,3,Personal Auto,Personal L3,Offer3,Branch,302.4,Four-Door Car,Small,Istanbul,5,1.0,3,0.012298882363467763,2,0.012223865565323882
XM91635,Arizona,2272.335352,No,Basic,High School or Below,1/5/11,Medical Leave,F,16618,Urban,Single,62,0,40,0,1,Special Auto,Special L2,Offer3,Branch,219.288706,Four-Door Car,Medsize,Izmir,4,1.0,1,0.04477073053315682,3,0.043797464726826635
TV82603,California,14895.39798,No,Basic,Bachelor,1/21/11,Employed,F,48081,Urban,Married,188,31,12,0,5,Personal Auto,Personal L3,Offer1,Branch,881.360959,Luxury SUV,Small,Istanbul,5,1.5,4,0.0469208211143695,3,0.04585330449612229
BB82067,Oregon,9756.044954,No,Extended,Doctor,1/2/11,Employed,M,67632,Rural,Married,121,0,44,0,4,Personal Auto,Personal L3,Offer1,Branch,26.951627,Sports Car,Medsize,Antalya,3,1.5,1,0.021469127040454224,1,0.021241911657238766
JP94676,Oregon,9422.974113,No,Basic,Bachelor,2/16/11,Employed,F,34115,Urban,Married,119,6,73,0,6,Personal Auto,Personal L2,Offer1,Agent,466.122541,SUV,Medsize,Antalya,3,1.0,1,0.04185842004983145,3,0.041006060826851286
VU53417,Arizona,3837.357574,No,Extended,High School or Below,1/1/11,Medical Leave,M,23051,Suburban,Divorced,99,31,86,0,1,Personal Auto,Personal L1,Offer1,Agent,475.2,Two-Door Car,Medsize,Izmir,4,1.0,4,0.05153789423452344,2,0.05025375377518578
IW54795,California,10952.13189,No,Extended,College,2/16/11,Medical Leave,M,23748,Suburban,Married,99,0,24,0,2,Personal Auto,Personal L2,Offer2,Agent,607.095655,Four-Door Car,Large,Istanbul,5,1.0,1,0.05002526528549773,2,0.04881422605660698
RN78170,Arizona,8159.136579,No,Basic,College,1/15/11,Employed,F,40589,Suburban,Divorced,69,23,68,0,2,Corporate Auto,Corporate L3,Offer4,Branch,331.2,Four-Door Car,Medsize,Izmir,4,1.0,3,0.020399615659415112,2,0.0201943306286619
IX55883,California,19480.49981,No,Extended,College,1/2/11,Employed,F,50809,Urban,Single,83,29,58,0,2,Personal Auto,Personal L1,Offer1,Branch,290.381707,Four-Door Car,Medsize,Istanbul,5,1.0,4,0.019602826270936253,3,0.01941316545687622
XM72420,Arizona,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal Auto,Personal L2,Offer3,Agent,558.099357,Four-Door Car,Small,Izmir,4,1.0,1,0.017457555942168097,2,0.017306923402806075
GC15104,Nevada,7985.14214,No,Basic,Bachelor,2/21/11,Employed,F,52339,Suburban,Divorced,70,7,55,3,2,Corporate Auto,Corporate L3,Offer3,Web,336.0,Four-Door Car,Medsize,Bursa,3,1.0,2,0.01604921760064197,2,0.015921790503306055
